,Department_Id,Department_Name
0,8,['Marketing']
1,7,['Executive']
2,6,['IT']
3,3,['Executive']
4,9,['Executive']
5,1,['Human Resources']
6,10,['Public Relations']
7,3,['Marketing']
8,8,['Shipping']
9,1,['Sales']
10,5,['Purchasing']
11,9,['Sales']
12,7,['Marketing']
13,3,['Purchasing']
14,1,['Marketing']
15,1,['IT']
16,4,['Public Relations']
17,10,['Purchasing']
18,5,['Purchasing']
19,7,['Administration']
20,3,['Human Resources']
21,2,['IT']
22,7,['Sales']
23,3,['Purchasing']
24,10,['Human Resources']
25,9,['IT']
26,8,['Human Resources']
27,4,['Administration']
28,9,['IT']
29,3,['Public Relations']
30,5,['IT']
31,9,['IT']
32,4,['Marketing']
33,7,['Executive']
34,3,['IT']
35,6,['Finance']
36,3,['Executive']
37,10,['Administration']
38,8,['Public Relations']
39,2,['Human Resources']
40,3,['Finance']
41,4,['IT']
42,3,['Finance']
43,5,['Public Relations']
44,1,['Executive']
45,9,['Public Relations']
46,2,['Purchasing']
47,6,['Administration']
48,1,['Executive']
49,3,['Finance']
50,4,['Administration']
51,2,['Human Resources']
52,10,['Finance']
53,9,['Administration']
54,8,['Public Relations']
55,9,['Purchasing']
56,3,['IT']
57,1,['Human Resources']
58,10,['Sales']
59,1,['Purchasing']
60,7,['Executive']
61,10,['Shipping']
62,10,['Shipping']
63,4,['IT']
64,6,['Sales']
65,3,['Sales']
66,8,['Marketing']
67,6,['Shipping']
68,6,['Purchasing']
69,3,['Public Relations']
70,6,['Human Resources']
71,9,['Finance']
72,1,['Finance']
73,5,['IT']
74,9,['Administration']
75,6,['Marketing']
76,8,['Executive']
77,9,['Sales']
78,3,['Public Relations']
79,2,['Sales']
80,3,['Executive']
81,4,['Administration']
82,7,['Public Relations']
83,6,['Executive']
84,5,['Public Relations']
85,1,['Shipping']
86,6,['Shipping']
87,3,['IT']
88,9,['Marketing']
89,5,['Sales']
90,2,['Administration']
91,4,['Purchasing']
92,1,['Finance']
93,7,['Human Resources']
94,9,['IT']
95,4,['Marketing']
96,8,['Public Relations']
97,6,['Shipping']
98,5,['Executive']
99,6,['Human Resources']
100,6,['IT']
101,10,['Executive']
102,2,['IT']
103,6,['Administration']
104,8,['Human Resources']
105,6,['Finance']
106,6,['Human Resources']
107,1,['Public Relations']
108,6,['Shipping']
109,5,['Purchasing']
110,2,['Marketing']
111,7,['Marketing']
112,9,['IT']
113,3,['Executive']
114,8,['IT']
115,2,['Administration']
116,6,['Administration']
117,4,['Finance']
118,2,['Executive']
119,5,['Shipping']
120,9,['Executive']
121,3,['Executive']
122,2,['Purchasing']
123,5,['Finance']
124,4,['IT']
125,1,['Shipping']
126,3,['Purchasing']
127,10,['Finance']
128,2,['IT']
129,3,['Marketing']
130,6,['IT']
131,7,['Sales']
132,6,['Purchasing']
133,1,['Marketing']
134,7,['Administration']
135,6,['Finance']
136,3,['Public Relations']
137,2,['Finance']
138,8,['Marketing']
139,9,['Human Resources']
140,10,['Executive']
141,4,['Sales']
142,4,['Sales']
143,10,['Administration']
144,10,['Marketing']
145,7,['IT']
146,1,['Shipping']
147,2,['Marketing']
148,9,['Human Resources']
149,1,['Shipping']
150,5,['Finance']
151,4,['Marketing']
152,3,['Shipping']
153,5,['Executive']
154,6,['Sales']
155,9,['Human Resources']
156,6,['Sales']
157,2,['Administration']
158,3,['Marketing']
159,5,['Public Relations']
160,5,['Marketing']
161,9,['Executive']
162,3,['Marketing']
163,9,['Executive']
164,4,['Executive']
165,9,['Marketing']
166,5,['Purchasing']
167,1,['Administration']
168,3,['Sales']
169,6,['Human Resources']
170,6,['Marketing']
171,7,['IT']
172,8,['Human Resources']
173,6,['Human Resources']
174,5,['Marketing']
175,10,['IT']
176,9,['Sales']
177,4,['Administration']
178,9,['Human Resources']
179,6,['Marketing']
180,2,['Finance']
181,3,['Shipping']
182,5,['Executive']
183,5,['IT']
184,7,['Administration']
185,6,['Human Resources']
186,6,['Public Relations']
187,8,['Executive']
188,1,['Administration']
189,10,['Sales']
190,2,['Marketing']
191,5,['Sales']
192,10,['Marketing']
193,4,['Executive']
194,9,['Administration']
195,5,['Finance']
196,8,['Shipping']
197,7,['Public Relations']
198,7,['Public Relations']
199,9,['Human Resources']
200,10,['IT']
201,4,['Finance']
202,5,['Public Relations']
203,5,['Administration']
204,1,['Public Relations']
205,2,['Marketing']
206,2,['Human Resources']
207,1,['Finance']
208,9,['Purchasing']
209,3,['Marketing']
210,1,['Marketing']
211,10,['Executive']
212,3,['Shipping']
213,3,['Shipping']
214,4,['Purchasing']
215,4,['IT']
216,2,['Public Relations']
217,7,['Public Relations']
218,2,['Executive']
219,2,['Administration']
220,1,['Public Relations']
221,10,['IT']
222,3,['Executive']
223,1,['Public Relations']
224,6,['Administration']
225,6,['Finance']
226,8,['Sales']
227,4,['Marketing']
228,4,['Public Relations']
229,10,['Executive']
230,3,['Public Relations']
231,4,['Sales']
232,5,['Administration']
233,2,['Administration']
234,7,['Shipping']
235,1,['IT']
236,8,['Administration']
237,1,['Administration']
238,9,['Public Relations']
239,7,['Public Relations']
240,3,['Purchasing']
241,4,['Finance']
242,1,['Marketing']
243,6,['Administration']
244,1,['Marketing']
245,9,['Finance']
246,5,['Shipping']
247,4,['Marketing']
248,6,['Public Relations']
249,1,['Finance']
250,2,['Human Resources']
251,5,['Public Relations']
252,8,['Human Resources']
253,3,['Sales']
254,5,['Administration']
255,10,['Finance']
256,10,['Finance']
257,10,['Marketing']
258,2,['Administration']
259,10,['Purchasing']
260,1,['Marketing']
261,6,['Administration']
262,5,['Shipping']
263,8,['Administration']
264,1,['Purchasing']
265,4,['IT']
266,9,['Marketing']
267,10,['Shipping']
268,3,['Finance']
269,10,['Public Relations']
270,9,['Shipping']
